文件名,模态,真实攻击类型,攻击手法,预测攻击类型,是否预测正确,Confidence
scion_Infiltration_NMAP-Portscan_2095.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9472
DDoS_LOIC-HTTP_1911.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.8238
mpls_BruteForce_SSH-Patator_710.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9651
DoS_GoldenEye_291.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9943
scion_Benign_16234.pcap,scion,Benign,,Infiltration,? 错误,0.855
ipv6_Benign_28278.pcap,ipv6,Benign,,Benign,? 正确,0.8125
mpls_DDoS_LOIC-UDP_1749.pcap,mpls,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9823
DDoS_HOIC_2841.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9923
mpls_DDoS_LOIC-UDP_1198.pcap,mpls,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
geo_DoS_GoldenEye_20432.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9923
mpls_BruteForce_FTP-Patator_3699.pcap,mpls,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DoS_GoldenEye_22349.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9924
geo_DDoS_LOIC-UDP_4150.pcap,geo,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
scion_BruteForce_FTP-Patator_4799.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DoS_GoldenEye_29265.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
BruteForce_FTP-Patator_460.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
DDoS_HOIC_4316.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.852
scion_Benign_18759.pcap,scion,Benign,,Benign,? 正确,0.8916
mpls_Benign_2920.pcap,mpls,Benign,,Benign,? 正确,0.945
DoS_GoldenEye_9597.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
ipv6_BruteForce_FTP-Patator_4886.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DoS_GoldenEye_29950.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9941
ipv6_DDoS_LOIC-HTTP_2700.pcap,ipv6,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9569
geo_DoS_GoldenEye_14616.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9939
BruteForce_FTP-Patator_183.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
geo_DDoS_HOIC_1724.pcap,geo,DDoS,HOIC,DoS/DDoS,? 正确,0.9924
geo_DoS_GoldenEye_11665.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9818
ipv6_DoS_GoldenEye_29906.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9941
mpls_BruteForce_SSH-Patator_675.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9475
ipv6_BruteForce_FTP-Patator_1553.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
geo_DoS_GoldenEye_11500.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9943
ipv6_Infiltration_NMAP-Portscan_1898.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9456
Infiltration_NMAP-Portscan_4292.pcap,IPv4,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9738
mpls_Infiltration_NMAP-Portscan_2188.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9724
geo_DDoS_LOIC-HTTP_398.pcap,geo,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
geo_DoS_GoldenEye_16174.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9924
ipv6_BruteForce_SSH-Patator_4450.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9604
ipv6_BruteForce_SSH-Patator_2151.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9574
scion_Botnet_Ares_1318.pcap,scion,Botnet,Ares,Botnet,? 正确,0.9095
ipv6_Infiltration_NMAP-Portscan_2406.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9744
DDoS_LOIC-HTTP_4240.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9568
Benign_3724.pcap,IPv4,Benign,,Benign,? 正确,0.956
ipv6_Benign_29239.pcap,ipv6,Benign,,Benign,? 正确,0.9785
scion_WebAttack_BruteForce-Web_197.pcap,scion,WebAttack,BruteForce-Web,WebAttack,? 正确,0.9498
mpls_Infiltration_Dropbox_3373.pcap,mpls,Infiltration,Dropbox,Infiltration,? 正确,0.9673
DDoS_HOIC_730.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9924
scion_BruteForce_SSH-Patator_625.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9437
mpls_BruteForce_SSH-Patator_3201.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9586
mpls_BruteForce_SSH-Patator_4307.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9614
mpls_BruteForce_SSH-Patator_4625.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9619
scion_Benign_18558.pcap,scion,Benign,,Benign,? 正确,0.7992
mpls_Benign_5652.pcap,mpls,Benign,,Benign,? 正确,0.9791
mpls_BruteForce_FTP-Patator_3580.pcap,mpls,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_BruteForce_FTP-Patator_1395.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
mpls_DoS_Slowloris_2697.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.993
geo_DDoS_LOIC-UDP_3566.pcap,geo,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
ipv6_Benign_25748.pcap,ipv6,Benign,,Benign,? 正确,0.9441
ipv6_Infiltration_Dropbox_474.pcap,ipv6,Infiltration,Dropbox,Benign,? 错误,0.8143
mpls_Benign_8208.pcap,mpls,Benign,,Benign,? 正确,0.9752
mpls_DDoS_LOIC-HTTP_1122.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.8238
geo_Benign_15166.pcap,geo,Benign,,Benign,? 正确,0.9779
geo_DDoS_HOIC_2664.pcap,geo,DDoS,HOIC,DoS/DDoS,? 正确,0.9908
Benign_990.pcap,IPv4,Benign,,Benign,? 正确,0.963
BruteForce_SSH-Patator_3432.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9613
ipv6_Botnet_Ares_1523.pcap,ipv6,Botnet,Ares,Botnet,? 正确,0.8359
ipv6_DDoS_LOIC-HTTP_4711.pcap,ipv6,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9558
mpls_Botnet_Screenshots_1918.pcap,mpls,Botnet,Screenshots,Botnet,? 正确,0.7551
geo_Benign_21469.pcap,geo,Benign,,Benign,? 正确,0.9764
scion_BruteForce_FTP-Patator_4401.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
mpls_Infiltration_Dropbox_2010.pcap,mpls,Infiltration,Dropbox,Infiltration,? 正确,0.9474
ipv6_BruteForce_SSH-Patator_2450.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9643
mpls_Benign_11963.pcap,mpls,Benign,,Benign,? 正确,0.7807
Infiltration_Dropbox_4581.pcap,IPv4,Infiltration,Dropbox,Infiltration,? 正确,0.97
mpls_BruteForce_SSH-Patator_2148.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9459
ipv6_DoS_GoldenEye_24909.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9672
mpls_DDoS_LOIC-HTTP_341.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
mpls_DoS_Slowloris_2299.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9818
mpls_BruteForce_SSH-Patator_1603.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9633
ipv6_DoS_GoldenEye_22556.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
Benign_7840.pcap,IPv4,Benign,,Benign,? 正确,0.9732
scion_Benign_16978.pcap,scion,Benign,,Benign,? 正确,0.8409
mpls_DoS_Hulk_3120.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9941
DDoS_HOIC_2938.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9924
mpls_BruteForce_FTP-Patator_837.pcap,mpls,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
BruteForce_FTP-Patator_3612.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_Infiltration_Dropbox_15.pcap,ipv6,Infiltration,Dropbox,Benign,? 错误,0.8082
scion_Benign_20304.pcap,scion,Benign,,Benign,? 正确,0.7465
ipv6_DDoS_LOIC-UDP_1403.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
ipv6_Benign_21759.pcap,ipv6,Benign,,Benign,? 正确,0.8096
geo_Benign_20257.pcap,geo,Benign,,Benign,? 正确,0.7935
DoS_GoldenEye_1467.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9924
scion_Benign_21377.pcap,scion,Benign,,Benign,? 正确,0.7901
mpls_DoS_Hulk_2819.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9903
mpls_Infiltration_Dropbox_1984.pcap,mpls,Infiltration,Dropbox,Infiltration,? 正确,0.9732
DoS_GoldenEye_5127.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
Benign_3341.pcap,IPv4,Benign,,Benign,? 正确,0.9776
scion_Botnet_Ares_685.pcap,scion,Botnet,Ares,Botnet,? 正确,0.9151
DoS_GoldenEye_9270.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
DoS_GoldenEye_3783.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9924
mpls_Benign_6141.pcap,mpls,Benign,,Benign,? 正确,0.9642
geo_Benign_21712.pcap,geo,Benign,,Benign,? 正确,0.9514
mpls_Botnet_Ares_114.pcap,mpls,Botnet,Ares,Botnet,? 正确,0.9148
DDoS_LOIC-UDP_739.pcap,IPv4,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9824
DoS_GoldenEye_7846.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9924
ipv6_DDoS_LOIC-UDP_1860.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9822
DDoS_LOIC-HTTP_4338.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9571
ipv6_DDoS_LOIC-UDP_4518.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
ipv6_Infiltration_Dropbox_3547.pcap,ipv6,Infiltration,Dropbox,Infiltration,? 正确,0.9738
scion_Benign_15636.pcap,scion,Benign,,Benign,? 正确,0.9561
ipv6_Infiltration_NMAP-Portscan_1547.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9458
DDoS_HOIC_4007.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9924
scion_Infiltration_NMAP-Portscan_2107.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9482
mpls_DoS_Hulk_4074.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9937
geo_DDoS_HOIC_4206.pcap,geo,DDoS,HOIC,DoS/DDoS,? 正确,0.8934
ipv6_DDoS_HOIC_523.pcap,ipv6,DDoS,HOIC,DoS/DDoS,? 正确,0.9925
mpls_Benign_7479.pcap,mpls,Benign,,Benign,? 正确,0.9326
DoS_GoldenEye_3848.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9818
scion_Botnet_Screenshots_610.pcap,scion,Botnet,Screenshots,Botnet,? 正确,0.52
DDoS_HOIC_89.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9926
Benign_2702.pcap,IPv4,Benign,,Benign,? 正确,0.9681
geo_DDoS_LOIC-HTTP_522.pcap,geo,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.8238
Botnet_Ares_1416.pcap,IPv4,Botnet,Ares,Botnet,? 正确,0.8386
scion_Infiltration_Dropbox_589.pcap,scion,Infiltration,Dropbox,Benign,? 错误,0.818
ipv6_Benign_26966.pcap,ipv6,Benign,,Benign,? 正确,0.9846
mpls_Infiltration_NMAP-Portscan_1211.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9287
