文件名,模态,真实攻击类型,攻击手法,预测攻击类型,是否预测正确,Confidence
Benign_20200.pcap,IPv4,Benign,,Benign,✓ 正确,0.8498
Benign_20201.pcap,IPv4,Benign,,Benign,✓ 正确,0.9854
Benign_20202.pcap,IPv4,Benign,,Benign,✓ 正确,0.8559
Benign_20203.pcap,IPv4,Benign,,Benign,✓ 正确,0.9838
Benign_20204.pcap,IPv4,Benign,,Benign,✓ 正确,0.8921
Benign_20205.pcap,IPv4,Benign,,Benign,✓ 正确,0.9800
Benign_20206.pcap,IPv4,Benign,,Benign,✓ 正确,0.8433
Benign_20207.pcap,IPv4,Benign,,Benign,✓ 正确,0.9853
Benign_20208.pcap,IPv4,Benign,,Benign,✓ 正确,0.9760
Benign_20209.pcap,IPv4,Benign,,Benign,✓ 正确,0.8871
Benign_20210.pcap,IPv4,Benign,,Benign,✓ 正确,0.8570
Benign_20211.pcap,IPv4,Benign,,Benign,✓ 正确,0.8536
Benign_20212.pcap,IPv4,Benign,,Benign,✓ 正确,0.9874
Benign_20213.pcap,IPv4,Benign,,Benign,✓ 正确,0.8960
Benign_20214.pcap,IPv4,Benign,,Benign,✓ 正确,0.9745
Benign_20215.pcap,IPv4,Benign,,Benign,✓ 正确,0.9862
Benign_20216.pcap,IPv4,Benign,,Benign,✓ 正确,0.5876
Benign_20217.pcap,IPv4,Benign,,Benign,✓ 正确,0.9855
Benign_20218.pcap,IPv4,Benign,,Benign,✓ 正确,0.8636
Benign_20219.pcap,IPv4,Benign,,Benign,✓ 正确,0.6028
Benign_20220.pcap,IPv4,Benign,,Benign,✓ 正确,0.9104
Benign_20221.pcap,IPv4,Benign,,Benign,✓ 正确,0.8639
Benign_20222.pcap,IPv4,Benign,,Benign,✓ 正确,0.8539
Benign_20223.pcap,IPv4,Benign,,Benign,✓ 正确,0.9873
Benign_20224.pcap,IPv4,Benign,,Benign,✓ 正确,0.9802
Benign_20225.pcap,IPv4,Benign,,Benign,✓ 正确,0.9185
Benign_20226.pcap,IPv4,Benign,,Benign,✓ 正确,0.8522
Benign_20227.pcap,IPv4,Benign,,Benign,✓ 正确,0.9825
Benign_20228.pcap,IPv4,Benign,,Benign,✓ 正确,0.9852
Benign_20229.pcap,IPv4,Benign,,Benign,✓ 正确,0.9419
Benign_20230.pcap,IPv4,Benign,,Benign,✓ 正确,0.9820
Benign_20231.pcap,IPv4,Benign,,Benign,✓ 正确,0.9722
Benign_20232.pcap,IPv4,Benign,,Benign,✓ 正确,0.9837
Benign_20233.pcap,IPv4,Benign,,Benign,✓ 正确,0.8823
Benign_20234.pcap,IPv4,Benign,,Benign,✓ 正确,0.8590
Benign_20235.pcap,IPv4,Benign,,Benign,✓ 正确,0.9826
Benign_20236.pcap,IPv4,Benign,,Benign,✓ 正确,0.9861
Benign_20237.pcap,IPv4,Benign,,Benign,✓ 正确,0.7855
Benign_20238.pcap,IPv4,Benign,,Benign,✓ 正确,0.8615
Benign_20239.pcap,IPv4,Benign,,Benign,✓ 正确,0.8159
Benign_20240.pcap,IPv4,Benign,,Benign,✓ 正确,0.7983
Benign_20241.pcap,IPv4,Benign,,Benign,✓ 正确,0.8554
Benign_20242.pcap,IPv4,Benign,,Benign,✓ 正确,0.7741
Benign_20243.pcap,IPv4,Benign,,Benign,✓ 正确,0.8887
Benign_20244.pcap,IPv4,Benign,,Benign,✓ 正确,0.8279
Benign_20245.pcap,IPv4,Benign,,Benign,✓ 正确,0.8553
Benign_20246.pcap,IPv4,Benign,,Benign,✓ 正确,0.9101
Benign_20247.pcap,IPv4,Benign,,Benign,✓ 正确,0.8645
Benign_20248.pcap,IPv4,Benign,,Benign,✓ 正确,0.9866
Benign_20249.pcap,IPv4,Benign,,Benign,✓ 正确,0.8673
Benign_20250.pcap,IPv4,Benign,,Benign,✓ 正确,0.9600
Benign_20251.pcap,IPv4,Benign,,Botnet,✗ 错误,0.9099
Benign_20252.pcap,IPv4,Benign,,Benign,✓ 正确,0.8421
Benign_20253.pcap,IPv4,Benign,,Benign,✓ 正确,0.8507
Benign_20254.pcap,IPv4,Benign,,Benign,✓ 正确,0.8759
Benign_20255.pcap,IPv4,Benign,,Benign,✓ 正确,0.8897
Benign_20256.pcap,IPv4,Benign,,Benign,✓ 正确,0.9874
Benign_20257.pcap,IPv4,Benign,,Benign,✓ 正确,0.8555
Benign_20258.pcap,IPv4,Benign,,Benign,✓ 正确,0.9700
Benign_20259.pcap,IPv4,Benign,,Benign,✓ 正确,0.8623
Benign_20260.pcap,IPv4,Benign,,Benign,✓ 正确,0.8844
Benign_20261.pcap,IPv4,Benign,,Benign,✓ 正确,0.8656
Benign_20262.pcap,IPv4,Benign,,Benign,✓ 正确,0.8563
Benign_20263.pcap,IPv4,Benign,,Benign,✓ 正确,0.8566
Benign_20264.pcap,IPv4,Benign,,Benign,✓ 正确,0.8549
Benign_20265.pcap,IPv4,Benign,,Benign,✓ 正确,0.9863
Benign_20266.pcap,IPv4,Benign,,Benign,✓ 正确,0.9325
Benign_20267.pcap,IPv4,Benign,,Benign,✓ 正确,0.8843
Benign_20268.pcap,IPv4,Benign,,Benign,✓ 正确,0.7820
Benign_20269.pcap,IPv4,Benign,,Benign,✓ 正确,0.8413
Benign_20270.pcap,IPv4,Benign,,Benign,✓ 正确,0.8645
Benign_20271.pcap,IPv4,Benign,,Benign,✓ 正确,0.8735
Benign_20272.pcap,IPv4,Benign,,Benign,✓ 正确,0.9851
Benign_20273.pcap,IPv4,Benign,,Benign,✓ 正确,0.8619
Benign_20274.pcap,IPv4,Benign,,Benign,✓ 正确,0.7879
Benign_20275.pcap,IPv4,Benign,,Benign,✓ 正确,0.9168
Benign_20276.pcap,IPv4,Benign,,Benign,✓ 正确,0.8578
Benign_20277.pcap,IPv4,Benign,,Benign,✓ 正确,0.9895
Benign_20278.pcap,IPv4,Benign,,Benign,✓ 正确,0.6232
Benign_20279.pcap,IPv4,Benign,,Benign,✓ 正确,0.8686
Benign_20280.pcap,IPv4,Benign,,Benign,✓ 正确,0.9880
Benign_20281.pcap,IPv4,Benign,,Benign,✓ 正确,0.6848
Benign_20282.pcap,IPv4,Benign,,Benign,✓ 正确,0.8987
Benign_20283.pcap,IPv4,Benign,,Benign,✓ 正确,0.8943
Benign_20284.pcap,IPv4,Benign,,Benign,✓ 正确,0.8926
Benign_20285.pcap,IPv4,Benign,,Benign,✓ 正确,0.9690
Benign_20286.pcap,IPv4,Benign,,Benign,✓ 正确,0.8503
Benign_20287.pcap,IPv4,Benign,,Benign,✓ 正确,0.8636
Benign_20288.pcap,IPv4,Benign,,Benign,✓ 正确,0.9838
Benign_20289.pcap,IPv4,Benign,,Benign,✓ 正确,0.9876
Benign_20290.pcap,IPv4,Benign,,Benign,✓ 正确,0.8446
Benign_20291.pcap,IPv4,Benign,,Botnet,✗ 错误,0.5559
Benign_20292.pcap,IPv4,Benign,,Benign,✓ 正确,0.8659
Benign_20293.pcap,IPv4,Benign,,Benign,✓ 正确,0.9817
Benign_20294.pcap,IPv4,Benign,,Benign,✓ 正确,0.9106
Benign_20295.pcap,IPv4,Benign,,Benign,✓ 正确,0.8524
Benign_20296.pcap,IPv4,Benign,,Benign,✓ 正确,0.9878
Benign_20297.pcap,IPv4,Benign,,Benign,✓ 正确,0.9834
Benign_20298.pcap,IPv4,Benign,,Benign,✓ 正确,0.8566
Benign_20299.pcap,IPv4,Benign,,Benign,✓ 正确,0.9662
Benign_20300.pcap,IPv4,Benign,,Benign,✓ 正确,0.8616
Benign_20301.pcap,IPv4,Benign,,Benign,✓ 正确,0.7876
Benign_20302.pcap,IPv4,Benign,,Benign,✓ 正确,0.8673
Benign_20303.pcap,IPv4,Benign,,Benign,✓ 正确,0.9563
Benign_20304.pcap,IPv4,Benign,,Benign,✓ 正确,0.6666
Benign_20305.pcap,IPv4,Benign,,Benign,✓ 正确,0.7417
Benign_20306.pcap,IPv4,Benign,,Benign,✓ 正确,0.8818
Benign_20307.pcap,IPv4,Benign,,Benign,✓ 正确,0.8794
Benign_20308.pcap,IPv4,Benign,,Benign,✓ 正确,0.8840
Benign_20309.pcap,IPv4,Benign,,Benign,✓ 正确,0.9858
Benign_20310.pcap,IPv4,Benign,,Benign,✓ 正确,0.8913
Benign_20311.pcap,IPv4,Benign,,Benign,✓ 正确,0.8374
Benign_20312.pcap,IPv4,Benign,,Benign,✓ 正确,0.7807
Benign_20313.pcap,IPv4,Benign,,Benign,✓ 正确,0.9893
Benign_20314.pcap,IPv4,Benign,,Benign,✓ 正确,0.9160
Benign_20315.pcap,IPv4,Benign,,Benign,✓ 正确,0.5960
Benign_20316.pcap,IPv4,Benign,,Benign,✓ 正确,0.9857
Benign_20317.pcap,IPv4,Benign,,Benign,✓ 正确,0.9895
Benign_20318.pcap,IPv4,Benign,,Benign,✓ 正确,0.9876
Benign_20319.pcap,IPv4,Benign,,Benign,✓ 正确,0.9128
Benign_20320.pcap,IPv4,Benign,,Benign,✓ 正确,0.9827
Benign_20321.pcap,IPv4,Benign,,Benign,✓ 正确,0.8760
Benign_20322.pcap,IPv4,Benign,,Benign,✓ 正确,0.8753
Benign_20323.pcap,IPv4,Benign,,Benign,✓ 正确,0.8570
Benign_20324.pcap,IPv4,Benign,,Benign,✓ 正确,0.8664
Benign_20325.pcap,IPv4,Benign,,Benign,✓ 正确,0.8605
Benign_20326.pcap,IPv4,Benign,,Benign,✓ 正确,0.9629
Benign_20327.pcap,IPv4,Benign,,Benign,✓ 正确,0.7837
Benign_20328.pcap,IPv4,Benign,,Benign,✓ 正确,0.9677
Benign_20329.pcap,IPv4,Benign,,Benign,✓ 正确,0.8615
Benign_20330.pcap,IPv4,Benign,,Benign,✓ 正确,0.9790
Benign_20331.pcap,IPv4,Benign,,Benign,✓ 正确,0.8767
Benign_20332.pcap,IPv4,Benign,,Benign,✓ 正确,0.9859
Benign_20333.pcap,IPv4,Benign,,Botnet,✗ 错误,0.6817
Benign_20334.pcap,IPv4,Benign,,Benign,✓ 正确,0.8145
Benign_20335.pcap,IPv4,Benign,,Benign,✓ 正确,0.8862
Benign_20336.pcap,IPv4,Benign,,Benign,✓ 正确,0.8909
Benign_20337.pcap,IPv4,Benign,,Benign,✓ 正确,0.9650
Benign_20338.pcap,IPv4,Benign,,Benign,✓ 正确,0.8973
Benign_20339.pcap,IPv4,Benign,,Benign,✓ 正确,0.8834
Benign_20340.pcap,IPv4,Benign,,Benign,✓ 正确,0.9018
Benign_20341.pcap,IPv4,Benign,,Benign,✓ 正确,0.6581
Benign_20342.pcap,IPv4,Benign,,Benign,✓ 正确,0.9782
Benign_20343.pcap,IPv4,Benign,,Benign,✓ 正确,0.8631
Benign_20344.pcap,IPv4,Benign,,Benign,✓ 正确,0.8790
Benign_20345.pcap,IPv4,Benign,,Benign,✓ 正确,0.9083
Benign_20346.pcap,IPv4,Benign,,Benign,✓ 正确,0.9876
Benign_20347.pcap,IPv4,Benign,,Benign,✓ 正确,0.8543
Benign_20348.pcap,IPv4,Benign,,Benign,✓ 正确,0.9867
Benign_20349.pcap,IPv4,Benign,,Benign,✓ 正确,0.8829
Benign_20350.pcap,IPv4,Benign,,Benign,✓ 正确,0.6699
Benign_20351.pcap,IPv4,Benign,,Benign,✓ 正确,0.8672
Benign_20352.pcap,IPv4,Benign,,Benign,✓ 正确,0.9166
Benign_20353.pcap,IPv4,Benign,,Benign,✓ 正确,0.9179
Benign_20354.pcap,IPv4,Benign,,Benign,✓ 正确,0.9781
Benign_20355.pcap,IPv4,Benign,,Benign,✓ 正确,0.9884
Benign_20356.pcap,IPv4,Benign,,Benign,✓ 正确,0.9853
Benign_20357.pcap,IPv4,Benign,,Benign,✓ 正确,0.9788
Benign_20358.pcap,IPv4,Benign,,Benign,✓ 正确,0.9029
Benign_20359.pcap,IPv4,Benign,,Benign,✓ 正确,0.7448
Benign_20360.pcap,IPv4,Benign,,Benign,✓ 正确,0.8534
Benign_20361.pcap,IPv4,Benign,,Benign,✓ 正确,0.9106
Benign_20362.pcap,IPv4,Benign,,Benign,✓ 正确,0.8577
Benign_20363.pcap,IPv4,Benign,,Benign,✓ 正确,0.9757
Benign_20364.pcap,IPv4,Benign,,Benign,✓ 正确,0.9895
Benign_20365.pcap,IPv4,Benign,,Benign,✓ 正确,0.8554
Benign_20366.pcap,IPv4,Benign,,Benign,✓ 正确,0.9106
Benign_20367.pcap,IPv4,Benign,,Benign,✓ 正确,0.9890
Benign_20368.pcap,IPv4,Benign,,Benign,✓ 正确,0.9831
Benign_20369.pcap,IPv4,Benign,,Benign,✓ 正确,0.9893
Benign_20370.pcap,IPv4,Benign,,Benign,✓ 正确,0.8591
Benign_20371.pcap,IPv4,Benign,,Benign,✓ 正确,0.9656
Benign_20372.pcap,IPv4,Benign,,Benign,✓ 正确,0.8723
Benign_20373.pcap,IPv4,Benign,,Benign,✓ 正确,0.9856
Benign_20374.pcap,IPv4,Benign,,Benign,✓ 正确,0.9829
Benign_20375.pcap,IPv4,Benign,,Benign,✓ 正确,0.8412
